source_id,source_name,sector,subsector,lat,lon,gas,emissions_co2e_tonnes,year
53058607,Buena Vista CA,fossil-fuel-operations,oil-and-gas-production,35.204632,-119.463635,co2,48251.08912635863,2022
25456860,Niland Gas Turbine Plant,power,electricity-generation,33.243,-115.4991,co2,47314.0,2022
25456828,Clearwater Power Plant,power,electricity-generation,33.8912,-117.6085,co2,46296.0,2022
25457131,Valero Wilmington Cogeneration Plant,power,electricity-generation,33.7787,-118.2385,co2,44310.0,2022
25456930,Mariposa Energy Project,power,electricity-generation,37.7892,-121.6019,co2,43993.4,2022
25456106,Bear Mountain Limited,power,electricity-generation,35.4192,-118.9266,co2,43835.16,2022
25456064,New-Indy Ontario Mill,power,electricity-generation,34.0454,-117.5402,co2,43651.0,2022
25457098,Hyperion Treatment Plant CHP Plant,power,electricity-generation,33.9261,-118.4291,co2,43651.0,2022
25456846,Black Mountain Generating Station,power,electricity-generation,35.0361,-114.1594,co2,43564.4,2022
53059002,Orcutt CA,fossil-fuel-operations,oil-and-gas-production,34.82800674,-120.4128113,co2,41088.03301421251,2022
1753385,Valero Wilmington Asphalt Plant Refinery,fossil-fuel-operations,oil-and-gas-refining,33.798301,-118.236861,co2,40627.94077080695,2022
25456355,UCLA So Campus Cogen Project,power,electricity-generation,34.0673,-118.4463,co2,40627.0,2022
25456934,Pio Pico Energy Center,power,electricity-generation,32.5739,-116.9178,co2,39216.3,2022
25456264,"Torrance Refining Company, LLC",power,electricity-generation,33.8534,-118.33,co2,38698.0,2022
25456937,Oxnard Paper Mill,power,electricity-generation,34.1414,-119.1831,co2,38358.0,2022
25456695,Wilmington Hydrogen Plant,power,electricity-generation,33.7803,-118.24,co2,38004.0,2022
25456789,Riverside Energy Resource Center,power,electricity-generation,33.9636,-117.4528,co2,37378.4,2022
25456427,Western Power & Steam Inc,power,electricity-generation,35.4408,-119.0129,co2,36640.0,2022
25456004,Total Energy Facilities,power,electricity-generation,33.7683,-118.2836,co2,36281.0,2022
25456059,Kingsburg Cogen,power,electricity-generation,36.5397,-119.5794,co2,34202.0,2022
25456965,Brea Expansion Plant,power,electricity-generation,33.932,-117.8402,co2,33730.0,2022
25456474,Live Oak Limited,power,electricity-generation,35.4962,-119.0089,co2,33702.7,2022
53058630,Cat Canyon CA,fossil-fuel-operations,oil-and-gas-production,34.82804108,-120.2984772,co2,33123.995520824814,2022
25456218,Phillips 66 Carbon Plant,power,electricity-generation,38.0181,-122.2344,co2,32523.0,2022
25456741,Feather River Energy Center,power,electricity-generation,39.1089,-121.6092,co2,32348.9,2022
25456295,Southeast Kern River Cogen,power,electricity-generation,35.4206,-118.9644,co2,31747.0,2022
25457052,"Bowerman Power LFG, LLC",power,electricity-generation,33.7189,-117.7022,co2,31483.0,2022
25456936,University of California San Diego Hybri,power,electricity-generation,32.8747,-117.2392,co2,31179.0,2022
25457006,Sunshine Gas Producers,power,electricity-generation,34.3357,-118.5192,co2,30424.0,2022
25456294,Agnews Power Plant,power,electricity-generation,37.4058,-121.9272,co2,30235.0,2022
25456312,CSUCI Site Authority,power,electricity-generation,34.162,-119.0479,co2,29383.0,2022
25456311,CamChino Leasing LLC,power,electricity-generation,33.9896,-117.6809,co2,29101.0,2022
25456310,PE Berkeley,power,electricity-generation,37.8703,-122.2634,co2,26927.0,2022
25456000,Gilroy Power Plant,power,electricity-generation,37.0001,-121.5367,co2,26417.5,2022
720454,CP Kelco San Diego Plant,power,electricity-generation,32.6947,-117.1436,co2,25397.0,2022
25456262,Berry Cogen Tanne Hills 18,power,electricity-generation,35.0898,-119.4409,co2,23809.0,2022
25456732,Henrietta Peaker,power,electricity-generation,36.2397,-119.9044,co2,22592.0,2022
25457033,MCAGCC Cogen Plant,power,electricity-generation,34.2372,-116.0542,co2,21694.0,2022
25456363,Plant No 2 Orange County,power,electricity-generation,33.6433,-117.9556,co2,19840.0,2022
25456781,SJ/SC WPCP,power,electricity-generation,37.4344,-121.9464,co2,18517.0,2022
25456359,Coalinga 25D Cogen,power,electricity-generation,36.1556,-120.3972,co2,17991.0,2022
25456918,UCI Facilities Management Central Plant,power,electricity-generation,33.6481,-117.8467,co2,17953.0,2022
25457007,Glass House Camarillo Cultivation,power,electricity-generation,34.1797,-119.0831,co2,17460.0,2022
25456087,Tesoro Wilmington Calciner,power,electricity-generation,33.777,-118.2282,co2,17191.0,2022
25456364,Cymric 36W Cogen,power,electricity-generation,35.3633,-119.6756,co2,16401.0,2022
25456358,Taft 26C Cogen,power,electricity-generation,35.1133,-119.4706,co2,16401.0,2022
25457092,"Republic Services Renewable Energy, LLC",power,electricity-generation,36.3587,-114.8748,co2,15873.0,2022
25456356,McKittrick Cogen,power,electricity-generation,35.3161,-119.6597,co2,15873.0,2022
25456107,Badger Creek Limited,power,electricity-generation,35.4837,-119.0299,co2,15835.699999999999,2022
25456691,Indigo Energy Facility,power,electricity-generation,33.9109,-116.553,co2,15679.24,2022
720849,H. Gonzales,power,electricity-generation,33.9986,-118.2215,co2,15609.0,2022
25456463,Yuma Cogeneration Associates,power,electricity-generation,32.7288,-114.6541,co2,15595.0,2022
25456692,Larkspur Energy Facility,power,electricity-generation,32.567,-116.9442,co2,15571.75,2022
25456807,Miramar Energy Facility,power,electricity-generation,32.8761,-117.1655,co2,15502.0,2022
25456838,McGrath Peaker,power,electricity-generation,34.2056,-119.2479,co2,15319.9,2022
721192,Berry NMW Cogens,power,electricity-generation,35.3076,-119.6116,co2,15078.0,2022
25456896,Ameresco Ox Mountain,power,electricity-generation,37.5042,-122.406,co2,15078.0,2022
53058603,Brea-Olinda CA,fossil-fuel-operations,oil-and-gas-production,33.93738174,-117.8899994,co2,14061.064450976191,2022
25456021,Loma Linda University Cogen,power,electricity-generation,34.0504,-117.2484,co2,13757.0,2022
25456160,San Diego State University,power,electricity-generation,32.7782,-117.0701,co2,13511.0,2022
25456733,Gilroy Peaking Energy Center,power,electricity-generation,36.999,-121.5363,co2,13448.0,2022
25456840,Mira Loma Peaker,power,electricity-generation,34.0053,-117.5604,co2,13202.0,2022
1753388,Foreland Refining Ely Refinery,fossil-fuel-operations,oil-and-gas-refining,38.621486,-115.617898,co2,12897.75897438316,2022
25456987,Parnassus Central Utility Plant,power,electricity-generation,37.7625,-122.4567,co2,12659.2,2022
25449943,Kings Beach,power,electricity-generation,39.2458,-120.0272,co2,12255.2,2022
41635906,Calabasas Gas to Energy Facility,power,electricity-generation,34.1511,-118.7236,co2,12169.1,2022
25456841,Barre Peaker,power,electricity-generation,33.8073,-117.9832,co2,10817.5,2022
25456867,Midway Peaking LLC,power,electricity-generation,36.6541,-120.5797,co2,10522.31,2022
41635349,MM West Covina,power,electricity-generation,34.0332,-117.9061,co2,10279.6,2022
25449953,Pebbly Beach Generating Station Hybrid,power,electricity-generation,33.3331,-118.3103,co2,10061.1,2022
25456787,Ripon Generation Station,power,electricity-generation,37.7312,-121.1253,co2,9775.19,2022
25456357,Lost Hills Cogeneration Plant,power,electricity-generation,35.6661,-119.7669,co2,9259.2,2022
25456899,Orange Grove Peaking Facility,power,electricity-generation,33.3594,-117.1114,co2,9169.7,2022
25456717,Hanford Energy Park Peaker,power,electricity-generation,36.2701,-119.6481,co2,8782.3,2022
25456756,Riverview Energy Center,power,electricity-generation,38.0144,-121.7907,co2,8318.6,2022
25456682,Border Hybrid Energy Center,power,electricity-generation,32.5624,-116.9439,co2,8283.59,2022
25456811,Malaga Power LLC,power,electricity-generation,36.69,-119.7404,co2,8038.5199999999995,2022
25456684,CalPeak Power Enterprise Peaker Plant,power,electricity-generation,33.1219,-117.1174,co2,7132.29,2022
25456974,Delano Energy Center,power,electricity-generation,35.7909,-119.2945,co2,6938.23,2022
25456905,El Cajon Energy Center,power,electricity-generation,32.7972,-116.972,co2,6395.49,2022
25456701,Goose Haven Energy Center,power,electricity-generation,38.2268,-121.8433,co2,6334.86,2022
