STATION,DATE,TMAX,city
USW00023174,1980-04-27,189,Los Angeles (LAX)
USW00023174,1980-04-28,200,Los Angeles (LAX)
USW00023174,1980-04-29,172,Los Angeles (LAX)
USW00023174,1980-04-30,161,Los Angeles (LAX)
USW00023174,1980-05-01,183,Los Angeles (LAX)
USW00023174,1980-05-02,217,Los Angeles (LAX)
USW00023174,1980-05-03,217,Los Angeles (LAX)
USW00023174,1980-05-04,178,Los Angeles (LAX)
USW00023174,1980-05-05,194,Los Angeles (LAX)
USW00023174,1980-05-06,189,Los Angeles (LAX)
USW00023174,1980-05-07,194,Los Angeles (LAX)
USW00023174,1980-05-08,183,Los Angeles (LAX)
USW00023174,1980-05-09,183,Los Angeles (LAX)
USW00023174,1980-05-10,178,Los Angeles (LAX)
USW00023174,1980-05-11,178,Los Angeles (LAX)
USW00023174,1980-05-12,194,Los Angeles (LAX)
USW00023174,1980-05-13,183,Los Angeles (LAX)
USW00023174,1980-05-14,189,Los Angeles (LAX)
USW00023174,1980-05-15,189,Los Angeles (LAX)
USW00023174,1980-05-16,194,Los Angeles (LAX)
USW00023174,1980-05-17,200,Los Angeles (LAX)
USW00023174,1980-05-18,189,Los Angeles (LAX)
USW00023174,1980-05-19,200,Los Angeles (LAX)
USW00023174,1980-05-20,167,Los Angeles (LAX)
USW00023174,1980-05-21,189,Los Angeles (LAX)
USW00023174,1980-05-22,178,Los Angeles (LAX)
USW00023174,1980-05-23,189,Los Angeles (LAX)
USW00023174,1980-05-24,183,Los Angeles (LAX)
USW00023174,1980-05-25,178,Los Angeles (LAX)
USW00023174,1980-05-26,194,Los Angeles (LAX)
USW00023174,1980-05-27,189,Los Angeles (LAX)
USW00023174,1980-05-28,183,Los Angeles (LAX)
USW00023174,1980-05-29,194,Los Angeles (LAX)
USW00023174,1980-05-30,200,Los Angeles (LAX)
USW00023174,1980-05-31,183,Los Angeles (LAX)
USW00023174,1980-06-01,189,Los Angeles (LAX)
USW00023174,1980-06-02,194,Los Angeles (LAX)
USW00023174,1980-06-03,194,Los Angeles (LAX)
USW00023174,1980-06-04,211,Los Angeles (LAX)
USW00023174,1980-06-05,200,Los Angeles (LAX)
USW00023174,1980-06-06,200,Los Angeles (LAX)
USW00023174,1980-06-07,228,Los Angeles (LAX)
USW00023174,1980-06-08,244,Los Angeles (LAX)
USW00023174,1980-06-09,233,Los Angeles (LAX)
USW00023174,1980-06-10,211,Los Angeles (LAX)
USW00023174,1980-06-11,217,Los Angeles (LAX)
USW00023174,1980-06-12,211,Los Angeles (LAX)
USW00023174,1980-06-13,211,Los Angeles (LAX)
USW00023174,1980-06-14,228,Los Angeles (LAX)
USW00023174,1980-06-15,250,Los Angeles (LAX)
USW00023174,1980-06-16,233,Los Angeles (LAX)
USW00023174,1980-06-17,228,Los Angeles (LAX)
USW00023174,1980-06-18,206,Los Angeles (LAX)
USW00023174,1980-06-19,206,Los Angeles (LAX)
USW00023174,1980-06-20,211,Los Angeles (LAX)
USW00023174,1980-06-21,222,Los Angeles (LAX)
USW00023174,1980-06-22,228,Los Angeles (LAX)
USW00023174,1980-06-23,233,Los Angeles (LAX)
USW00023174,1980-06-24,256,Los Angeles (LAX)
USW00023174,1980-06-25,233,Los Angeles (LAX)
USW00023174,1980-06-26,244,Los Angeles (LAX)
USW00023174,1980-06-27,294,Los Angeles (LAX)
USW00023174,1980-06-28,367,Los Angeles (LAX)
USW00023174,1980-06-29,250,Los Angeles (LAX)
USW00023174,1980-06-30,289,Los Angeles (LAX)
USW00023174,1980-07-01,278,Los Angeles (LAX)
USW00023174,1980-07-02,239,Los Angeles (LAX)
USW00023174,1980-07-03,239,Los Angeles (LAX)
USW00023174,1980-07-04,239,Los Angeles (LAX)
USW00023174,1980-07-05,250,Los Angeles (LAX)
USW00023174,1980-07-06,256,Los Angeles (LAX)
USW00023174,1980-07-07,250,Los Angeles (LAX)
USW00023174,1980-07-08,233,Los Angeles (LAX)
USW00023174,1980-07-09,239,Los Angeles (LAX)
USW00023174,1980-07-10,261,Los Angeles (LAX)
USW00023174,1980-07-11,278,Los Angeles (LAX)
USW00023174,1980-07-12,228,Los Angeles (LAX)
USW00023174,1980-07-13,233,Los Angeles (LAX)
USW00023174,1980-07-14,239,Los Angeles (LAX)
USW00023174,1980-07-15,261,Los Angeles (LAX)
USW00023174,1980-07-16,228,Los Angeles (LAX)
USW00023174,1980-07-17,239,Los Angeles (LAX)
USW00023174,1980-07-18,222,Los Angeles (LAX)
USW00023174,1980-07-19,228,Los Angeles (LAX)
USW00023174,1980-07-20,233,Los Angeles (LAX)
USW00023174,1980-07-21,194,Los Angeles (LAX)
USW00023174,1980-07-22,206,Los Angeles (LAX)
USW00023174,1980-07-23,217,Los Angeles (LAX)
USW00023174,1980-07-24,222,Los Angeles (LAX)
USW00023174,1980-07-25,228,Los Angeles (LAX)
USW00023174,1980-07-26,217,Los Angeles (LAX)
USW00023174,1980-07-27,222,Los Angeles (LAX)
USW00023174,1980-07-28,233,Los Angeles (LAX)
USW00023174,1980-07-29,267,Los Angeles (LAX)
USW00023174,1980-07-30,328,Los Angeles (LAX)
USW00023174,1980-07-31,294,Los Angeles (LAX)
